?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MAXO_0009016>	"Treatment with Botulinum toxin type A which can treat certain conditions. Currently it is used to smoothed wrinkles. It is also called Botox treatment."	
<http://purl.obolibrary.org/obo/UBERON_0009569>		"SCTID:22943007 FMA:25054"
<http://purl.obolibrary.org/obo/CHEBI_30356>		
<http://purl.obolibrary.org/obo/MAXO_0035083>	"Computed tomography (CT) examination of the kidneys, ureters and bladder following administration of intravenous contrast material."	
<http://purl.obolibrary.org/obo/MAXO_0000575>	"Determination if a patient's background or demographic characteristics makes the patient susceptible to disease."	
<http://purl.obolibrary.org/obo/MAXO_0000016>	"Cell therapy is therapy in which cellular material is injected into a patient."	"NCIT:C70601"
<http://purl.obolibrary.org/obo/MAXO_0000129>		
<http://purl.obolibrary.org/obo/UBERON_0005946>	"An outflow tract that is part of a cardiac atrium."	"FMA:14141"
<http://purl.obolibrary.org/obo/MAXO_0001125>	"Therapy with an agent that inhibits the function of the sodium-potassium-chloride (Na+, K+, Cl-) cotransporter system in the thick ascending limb of the loop of Henle, thereby inhibiting the reabsorption of sodium, potassium, and chloride ions. This leads to an increase in the excretion of sodium, potassium, chloride, calcium, magnesium, ammonium and water."	
<http://purl.obolibrary.org/obo/MAXO_0000268>	"Treatment to regulate muscle contractions in the gastrointestinal tract."	
<http://purl.obolibrary.org/obo/SO_0000851>	"A region of a CDS."	
<http://purl.obolibrary.org/obo/UBERON_0007684>	"Functional unit of the kidney that forms urine, consisting of two parts, the nephron and the collecting tubule."	"FMA:17691"
<http://purl.obolibrary.org/obo/MAXO_0035119>	"A form of Doppler ultrasound examination that examines blood vessels and blood flow."	
<http://purl.obolibrary.org/obo/GO_0099537>	"Cell-cell signaling in either direction across the synaptic cleft."	
<http://purl.obolibrary.org/obo/CL_0000499>	"A connective tissue cell of an organ found in the loose connective tissue. These are most often associated with the uterine mucosa and the ovary as well as the hematopoietic system and elsewhere."	"FMA:83624 BTO:0002064"
<http://purl.obolibrary.org/obo/MAXO_0000409>	"Removal and examination of tissue, cells, or fluids from testis for the purpose of detecting or characterizing disease."	
<http://purl.obolibrary.org/obo/PATO_0001309>	"A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point."	
<http://purl.obolibrary.org/obo/UBERON_0000068>	"A life cycle stage that starts with fertilization and ends with the fully formed embryo."	"HsapDv:0000002 WBls:0000092 OGES:000022 OGES:000000 WBls:0000102 WBls:0000003 SCTID:296280003 FBdv:00005289 XAO:1000012 EV:0300001 FMA:72652 BilaDO:0000002 MmusDv:0000002"
<http://purl.obolibrary.org/obo/FOODON_03460111>	"Used to specifically characterize a food product based on the treatment or processes applied to the product or any indexed ingredient. The processes include adding, substituting or removing components or modifying the food or component, e.g., through fermentation."@en	"http://www.langual.org/langual_thesaurus.asp?termid=H0111"
<http://purl.obolibrary.org/obo/UBERON_0010712>	"Skeletal subdivision that is a segment of the limb skeleton."	"VSAO:0005018"
<http://purl.obolibrary.org/obo/MAXO_0010110>	"A medical requirement or recommendation of avoiding the consumption of lactose."	
<http://purl.obolibrary.org/obo/CHEBI_26537>	"Oxygenated derivatives of 3,7-dimethyl-1-(2,6,6-trimethylcyclohex-1-enyl)nona-1,3,5,7-tetraene and derivatives thereof."	
<http://purl.obolibrary.org/obo/MAXO_0001353>	"A surgery that fixes or mends large intestine."	
<http://purl.obolibrary.org/obo/UBERON_0001041>	"Anterior subdivision of a digestive tract."	"EHDAA:520 AAO:0011042 FMA:45616 EHDAA2:0000557 NCIT:C34180 XAO:0000232 MA:0001526 BILA:0000085 SCTID:361409009 TGMA:0001014 BTO:0000507 VHOG:0000285 Wikipedia:Foregut EMAPA:16548"
<http://purl.obolibrary.org/obo/CL_2000022>	"Any native cell that is part of a cardiac septum."	
<http://purl.obolibrary.org/obo/CL_0000513>	"A precursor cell destined to differentiate into cardiac muscle cell."	"FMA:84797"
<http://purl.obolibrary.org/obo/MAXO_0010131>	"Collection biological material from within the tongue with a cotton swab for use in clinical tests."	
<http://purl.obolibrary.org/obo/UBERON_0006717>	"The collection of all skeletal elements in an autopodium region."	"VSAO:0005019"
<http://purl.obolibrary.org/obo/MAXO_0000813>	"Testing to detect hepatitis B viral antigens and an active hepatitis B infection."	
<http://purl.obolibrary.org/obo/MAXO_0000386>		
<http://purl.obolibrary.org/obo/MAXO_0000295>	"Use of a drug that induces, enhances, restores or suppresses the host's immune system, or an agent that utilizes or is derived from a component of the immune system."	"CHEBI:50846 NCIT:C308"
<http://purl.obolibrary.org/obo/MAXO_0000890>	"Removal of hard deposits made of minerals and salts also called 'stones' or 'calculi' by any of a number of methods. Stones can be found in the kidney, gallbladder, urethra, salivary gland or other ducts."	
<http://purl.obolibrary.org/obo/CHEBI_50855>	"A cardiovascular drug that prevents atherogenesis, the accumulation of lipid-containing plaques on the innermost layers of the arteries. Compare with antiatherosclerotic agent."	
<http://purl.obolibrary.org/obo/FOODON_03304870>		"https://bioregistry.io/reference/siren:F4870"
<http://purl.obolibrary.org/obo/UBERON_0000047>	"An eye with one concave chamber. Note that 'simple' does not imply a reduced level of complexity or acuity."	"Wikipedia:Eye#Simple_eyes TGMA:0000729"
<http://purl.obolibrary.org/obo/CHEBI_76969>	"Any prokaryotic metabolite produced during a metabolic reaction in bacteria."	
<http://purl.obolibrary.org/obo/CHEBI_32563>	"An alpha-amino-acid anion that is the conjugate base of lysine, arising from deprotonation of the carboxy group."	
<http://purl.obolibrary.org/obo/GO_0060986>	"The regulated release of a hormone into the circulatory system."	
<http://purl.obolibrary.org/obo/NCBITaxon_2231390>		"PMID:11250829 GC_ID:1"
<http://purl.obolibrary.org/obo/MAXO_0010022>	"Addition of uridine to a diet for complete nutrition support."	
<http://purl.obolibrary.org/obo/CHEBI_24436>	"Any organonitrogen compound containing a carbamimidamido (guanidino) group. Guanidines have the general structure (R(1)R(2)N)(R(3)R(4)N)C=N-R(5) and are related structurally to amidines and ureas."	
<http://purl.obolibrary.org/obo/CHEBI_18237>	"An alpha-amino acid that is glutaric acid bearing a single amino substituent at position 2."	"Wikipedia:Glutamic_acid KNApSAcK:C00001358 KNApSAcK:C00019577 KEGG:D04341 KEGG:C00302"
<http://purl.obolibrary.org/obo/GO_0007613>	"The activities involved in the mental information processing system that receives (registers), modifies, stores, and retrieves informational stimuli. The main stages involved in the formation and retrieval of memory are encoding (processing of received information by acquisition), storage (building a permanent record of received information as a result of consolidation) and retrieval (calling back the stored information and use it in a suitable way to execute a given task)."	"Wikipedia:Memory"
<http://purl.obolibrary.org/obo/GO_0065008>	"Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."	
<http://purl.obolibrary.org/obo/UBERON_0005604>		"EMAPA:16844 VHOG:0000215 MA:0001636"
<http://purl.obolibrary.org/obo/UBERON_0005891>	"The epithelial lining of the surface of the coelom."	"Wikipedia:Coelomic_epithelium XAO:0000329"
<http://purl.obolibrary.org/obo/MAXO_0001535>	"Implantation of a bridge or prosthesis to bridge the gap between 2 healthy teeth where one or more teeth are missing."	
<http://purl.obolibrary.org/obo/UBERON_0013755>	"A blood that is part of a artery."	"FMA:83066"
<http://purl.obolibrary.org/obo/MAXO_0035015>	"A test to determine the smallest letters a patient can clearly see."	
<http://purl.obolibrary.org/obo/CHEBI_58942>	"An amino-acid residue protonated on nitrogen."	
<http://purl.obolibrary.org/obo/MAXO_0000626>	"A therapy utilizing an intravenous substance that produces loss of consciousness."	
<http://purl.obolibrary.org/obo/MAXO_0000347>	"Removal and examination of tissue, cells, or fluids from chordate pharynx for the purpose of detecting or characterizing disease."	
<http://purl.obolibrary.org/obo/HP_0012210>	"Any structural anomaly of the kidney."	"SNOMEDCT_US:44513007 UMLS:C0266292 Fyler:4512"
<http://purl.obolibrary.org/obo/CHEBI_57652>	"Anionic form of chondroitin D-glucuronate arising from deprotonation of the carboxylic acid groups of the repeating units; major species at pH 7.3."	
<http://purl.obolibrary.org/obo/UBERON_0001280>	"The functional units of the liver including the lobules."	"SCTID:363535004 XAO:0000454 VHOG:0000539 FMA:17540 AAO:0010405 EMAPA:17203 NCIT:C32735 EHDAA:2201 EHDAA2:0001004 MA:0000366 UMLS:C0736268"
<http://purl.obolibrary.org/obo/MAXO_0000183>	"Treatment with an agent that selectively binds to and activates alpha-adrenergic receptors."	"CHEBI:48539"
<http://purl.obolibrary.org/obo/MAXO_0009057>	"A direct assessment of a patient's condition by a family medicine specialist that is based on a physical exam, medical history, and the patient's account of symptoms."	
<http://purl.obolibrary.org/obo/CL_0000099>	"Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions."	"WBbt:0005113 FMA:67313 BTO:0003811"
<http://purl.obolibrary.org/obo/CHEBI_16643>	"The L-enantiomer of methionine."	"KEGG:C00073 PDBeChem:MET_LFOH HMDB:HMDB0000696 ECMDB:ECMDB00696 MetaCyc:MET KEGG:D00019 KNApSAcK:C00001379 DrugBank:DB00134 YMDB:YMDB00318"
<http://purl.obolibrary.org/obo/CHEBI_76946>	"Any eukaryotic metabolite produced during a metabolic reaction in fungi, the kingdom that includes microorganisms such as the yeasts and moulds."	
<http://purl.obolibrary.org/obo/CL_0017502>	"Cytoplasm that exhibits a characteristic staining and color, red or pink, with Eosin stain."	
<http://purl.obolibrary.org/obo/UBERON_0005606>		"EHDAA2:0000789 FMA:312291 VHOG:0001477 EHDAA:4733 MA:0000272 EMAPA:17302"
<http://purl.obolibrary.org/obo/FOODON_03420152>	"Extract, concentrate or isolate high in sugar, oligosaccharide or polysaccharide."@en	"http://www.langual.org/langual_thesaurus.asp?termid=C0152"
<http://purl.obolibrary.org/obo/MAXO_0000694>	"An assessment by an internist who treats diseases of joints, muscle, bones and tendons. This specialist diagnoses and treats arthritis, back pain, muscle strains, common athletic injuries and collagen diseases."	
<http://purl.obolibrary.org/obo/GO_0046879>	"The regulated release of hormones, substances with a specific regulatory effect on a particular organ or group of cells."	
<http://purl.obolibrary.org/obo/GO_0036477>	"The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon."	
<http://purl.obolibrary.org/obo/GO_0002652>	"Any process that modulates the frequency, rate, or extent of tolerance induction dependent upon immune response."	
<http://purl.obolibrary.org/obo/MAXO_0000573>	"Treatment of retroviral infections with medications that target the virus directly, limiting the ability of infected cells to produce new virus particles."	"NCIT:C94631"
<http://purl.obolibrary.org/obo/FOODON_00003004>	"A whole animal."@en	"http://www.langual.org/langual_thesaurus.asp?termid=B1297"
<http://purl.obolibrary.org/obo/MAXO_0001247>	"The determination of the amount of vitamin B12 present in the sample."	
<http://purl.obolibrary.org/obo/CHEBI_24836>		
<http://purl.obolibrary.org/obo/GO_0097205>	"A renal system process in which fluid circulating through the body is filtered through a barrier system."	
<http://purl.obolibrary.org/obo/UBERON_0002416>	"Connected anatomical system that forms a barrier between an animal and its environment. In vertebrates, the integumental system consists of the epidermis, dermis plus associated glands and adnexa such as hair and scales. In invertebrates, the integumental system may include cuticle."	"EHDAA2_RETIRED:0003154 EFO:0000807 SCTID:361692004 BILA:0000118 AEO:0000154 CARO:0002001 EHDAA2:0000836 TADS:0000108 NCIT:C12907 MAT:0000033 EV:0100151 MA:0000014 Wikipedia:Integumentary_system EHDAA:6520 HAO:0000421 EMAPA:17524 FMA:72979 VHOG:0000403 galen:Surface CALOHA:TS-1299 XAO:0000176 MESH:D034582 MIAA:0000033"
<http://purl.obolibrary.org/obo/NCBITaxon_2231393>		"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0002400>	"The outer serous membrane of the pulmonary pleural."	"FMA:9733 Wikipedia:Parietal_pleura MA:0002488 EMAPA:16776 NCIT:C33273 VHOG:0001495 SCTID:361998003"
<http://purl.obolibrary.org/obo/FOODON_00001133>	"A relish, sauce, or seasoning  added to food to impart a particular flavour or to complement the dish."	
<http://purl.obolibrary.org/obo/GO_0070013>	"An organelle lumen that is part of an intracellular organelle."	
<http://purl.obolibrary.org/obo/GO_0015031>	"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/MAXO_0001166>	"Collecting of respiratory system mucus for clinical use."	
<http://purl.obolibrary.org/obo/GO_0006139>	"Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."	
<http://purl.obolibrary.org/obo/GO_0030030>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."	
<http://purl.obolibrary.org/obo/MAXO_0000565>	"Detection of serum levels of amyloid A (SAA) in response to inflammation."	
<http://purl.obolibrary.org/obo/CHEBI_27594>		"WebElements:C KEGG:C06265"
<http://purl.obolibrary.org/obo/CL_0001067>	"An innate lymphoid cell that is capable of producing the type 1 cytokine IFN-gamma, but not Th2 or Th17 cell-associated cytokines."	
<http://purl.obolibrary.org/obo/CHEBI_29101>	"A monoatomic monocation obtained from sodium."	"KEGG:C01330 PDBeChem:NA"
<http://purl.obolibrary.org/obo/CHEBI_24963>	"Oxo carboxylic acids formally derived from aldonic acids by replacement of a secondary CHOH group by a carbonyl group."	
<http://purl.obolibrary.org/obo/HP_0010051>	"Displacement of the big toe from its normal position."	"UMLS:C4021344"
<http://purl.obolibrary.org/obo/MAXO_0000785>	"A quantitative measurement of the amount of human chorionic gonadotropin present in a sample of serum."	"NCIT:C73495"
<http://purl.obolibrary.org/obo/UBERON_0001114>	"The right lobe is much larger than the left; the proportion between them being as six to one. It occupies the right hypochondrium, and is separated from the left lobe on its upper surface by the falciform ligament; on its under and posterior surfaces by the left sagittal fossa; and in front by the umbilical notch. It is of a somewhat quadrilateral form, its under and posterior surfaces being marked by three fossæ: the porta and the fossæ for the gall-bladder and inferior vena cava, which separate its left part into two smaller lobes; the quadrate and caudate lobes. [WP,unvetted]."	"FMA:13362 Wikipedia:Right_lobe_of_liver EHDAA2:0001008 VHOG:0001424 MA:0000363 SCTID:362182008 TAO:0005173 EHDAA:4001 ZFA:0005173 NCIT:C33481 EMAPA:18311"
<http://purl.obolibrary.org/obo/OBI_0000968>	"A material entity that is designed to perform a function in a scientific investigation, but is not a reagent."	
<http://purl.obolibrary.org/obo/MAXO_0000254>		
<http://purl.obolibrary.org/obo/CL_0000988>	"A cell of a hematopoietic lineage."	"FMA:70366 FMA:83598 BTO:0000574 CALOHA:TS-2017"
<http://purl.obolibrary.org/obo/MAXO_0001259>	"A medical imaging technique used to visualize the inside, or lumen, of blood vessels and organs of the body, with particular interest in the arteries, veins, and the heart chambers."	
<http://purl.obolibrary.org/obo/MAXO_0001322>	"Use of a drug or agent that does not act as agonist or antagonist but does affect GABA-ionophore complex signaling."	
<http://purl.obolibrary.org/obo/NCBITaxon_207598>		"GC_ID:1"
<http://purl.obolibrary.org/obo/MAXO_0001431>	"All manners of treatment to bring ocular refractive media back to its normal state."	
<http://purl.obolibrary.org/obo/MAXO_0000066>	"The administration of oxygen to an individual, usually to aid in respiration."	"NCIT:C94624 MeSH:D010102"
<http://purl.obolibrary.org/obo/MAXO_0035121>	"An electrophysiologic test that measures the existing resting electrical potential between the cornea and Bruch's membrane. The most common use of the electrooculogram is to confirm disease."	
<http://purl.obolibrary.org/obo/BFO_0000020>		
<http://purl.obolibrary.org/obo/GO_0005737>	"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	"Wikipedia:Cytoplasm"
<http://purl.obolibrary.org/obo/CHEBI_24834>		
<http://purl.obolibrary.org/obo/UBERON_0001064>	"A duct joining the pancreas to the common bile duct to supply pancreatic juices which aid in digestion provided by the exocrine pancreas. The pancreatic duct joins the common bile duct just prior to the ampulla of Vater, after which both ducts perforate the medial side of the second portion of the duodenum at the major duodenal papilla."	"MA:0000126 EMAPA:17510 EHDAA2:0001396 FMA:16003 SCTID:245385001 VHOG:0000256 MESH:D010183 NCIT:C12272 EHDAA:6905 Wikipedia:Pancreatic_duct GAID:337 RETIRED_EHDAA2:0002177 BTO:0002362"
<http://purl.obolibrary.org/obo/MAXO_0001397>	"All manners of treatment to bring visual system back to its normal state."	
<http://purl.obolibrary.org/obo/MAXO_0010092>	"A medical requirement or recommendation of avoiding the consumption of methionine."	
<http://purl.obolibrary.org/obo/UBERON_0004638>	"An endothelium that lines the blood vasculature. Other endothelia may line lymph vessels, the heart."	"NCIT:C53395 TAO:0005257 ZFA:0005257 BTO:0000766 MA:0000709 EMAPA:35176 CALOHA:TS-2155"
<http://purl.obolibrary.org/obo/MAXO_0001580>	"Wearing of any contact lens used to relieve pain and help protect or heal the cornea and nearby tissues."	
<http://purl.obolibrary.org/obo/CHEBI_64570>	"An EC 2.1.2.* (hydroxymethyl-, formyl- and related transferases) inhibitor that interferes with the action of glycine hydroxymethyltransferase (EC 2.1.2.1)."	"Wikipedia:Glycine_hydroxymethyltransferase"
<http://purl.obolibrary.org/obo/UBERON_0004808>	"An epithelium that is part of a digestive system [Automatically generated definition]."	"MA:0001520 EMAPA:32683"
<http://purl.obolibrary.org/obo/MAXO_0001181>	"The determination of the amount of alkaline phosphatase present in blood serum."	
<http://purl.obolibrary.org/obo/CL_0002180>	"A mucous cell in the epithelium of the stomach."	"FMA:63464"
<http://purl.obolibrary.org/obo/CHEBI_24432>	"A role played by the molecular entity or part thereof within a biological context."	
<http://purl.obolibrary.org/obo/PATO_0001563>	"A mass which is higher than normal or average."	
<http://purl.obolibrary.org/obo/MAXO_0010203>	"The use of ultrasound to produce images of structures in the heart."	
<http://purl.obolibrary.org/obo/CL_0000438>	"A peptide hormone secreting cell pituitary that produces luteinizing hormone."	
<http://purl.obolibrary.org/obo/PO_0025127>	"A portion of meristem tissue (PO:0009013) that has as parts protoderm (PO:0006210) and sub-epidermal meristematic tissue and is committed to the development of a particular plant structure (PO:0009011)."	"PO_GIT:186"
<http://purl.obolibrary.org/obo/MAXO_0001464>	"Procedure to evaluate the structure and/or function of the bile."	
<http://purl.obolibrary.org/obo/OBI_0000436>	"A needle is a sharp, hollow device used to penetrate tissue or soft material. When attached to a syringe. it allows delivery of a specific volume of liquid or gaseous mixture."	
<http://purl.obolibrary.org/obo/MAXO_0001010>	"A determination of the number of leukocyte in a blood sample."	"NCIT:C51948"
<http://purl.obolibrary.org/obo/NCBITaxon_91882>		"PMID:12144762 GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0009911>		"NCIT:C12990 FMA:45737"
<http://purl.obolibrary.org/obo/PR_000006611>	"A protein that is a translation product of the human DNTT gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/MAXO_0010351>	"Use of an imaging test that uses small amounts of radiation to produce pictures of abdomen."	"NCIT:C38102"
<http://purl.obolibrary.org/obo/CHEBI_32445>	"The L-enantiomer of cysteinium."	
<http://purl.obolibrary.org/obo/MAXO_0000853>	"A quantitative measurement of the total amount of protein present in a sample of serum."	"NCIT:C61033"
<http://purl.obolibrary.org/obo/UBERON_0002209>	"Nonsynovial joint in which the articulating bones or cartilages are connected by ligaments. Examples: sagittal suture, inferior tibiofibular syndesmosis, gomphosis.[FMA]."	"Wikipedia:Fibrous_joint ZFA:0005156 AEO:0000178 EHDAA2:0003178 EMAPA:35344 MA:0000321 SCTID:37772004 TAO:0005156 FMA:7492"
<http://purl.obolibrary.org/obo/MAXO_0000614>	"Immunofluorescence staining used in a pathology or clinical lab to diagnose diseases of the skin, kidney, heart, cilia and other organ systems."	
<http://purl.obolibrary.org/obo/MAXO_0001589>	"Transplantation of the innermost layer of the placenta graft."	
<http://purl.obolibrary.org/obo/MAXO_0001522>	"Administration of medication, fluid, or other substance to the eye."	
<http://purl.obolibrary.org/obo/CHEBI_24839>		
<http://purl.obolibrary.org/obo/CHEBI_50047>	"A compound formally derived from ammonia by replacing one, two or three hydrogen atoms by organyl groups."	
<http://purl.obolibrary.org/obo/MAXO_0000323>	"Treatment with a central nervous system depressant used to induce drowsiness or sleep or to reduce psychological excitement or anxiety."	"NCIT:C29756 CHEBI:35717"
<http://purl.obolibrary.org/obo/CHEBI_50733>	"A product in capsule, tablet or liquid form that provide essential nutrients, such as a vitamin, an essential mineral, a protein, an herb, or similar nutritional substance."	
<http://purl.obolibrary.org/obo/CHEBI_131878>	"Any steroid acid anion based on a cholanic acid skeleton."	
<http://purl.obolibrary.org/obo/CL_0002319>	"A cell that is part of the nervous system."	"FMA:70333 CALOHA:TS-2040"
<http://purl.obolibrary.org/obo/UBERON_0014387>	"Mesenchyme that develops_from the neural crest[Automatically generated definition]."	"FMA:293883 EMAPA:32735"
<http://purl.obolibrary.org/obo/GO_0043025>	"The portion of a neuron that includes the nucleus, but excludes cell projections such as axons and dendrites."	"NIF_Subcellular:sao1044911821 Wikipedia:Soma_(biology)"
<http://purl.obolibrary.org/obo/PR_000001889>	"A protein that is a translation product of the human CD14 gene or a 1:1 ortholog thereof."	"PIRSF:PIRSF002017"
<http://purl.obolibrary.org/obo/GO_0031982>	"Any small, fluid-filled, spherical organelle enclosed by membrane."	"Wikipedia:Vesicle_(biology) NIF_Subcellular:sao221389602"
<http://purl.obolibrary.org/obo/MAXO_0000970>	"An examination of the anterior chamber of the eye with a lens that is placed against the eye as a part of a slit-lamp examination."	
<http://purl.obolibrary.org/obo/UBERON_0002355>	"The lower segment of the trunk, inferioposterior to the abdomen proper, in the transition area between the trunk and the lower limbs."	"EMAPA:35931 GAID:87 CALOHA:TS-2227 Wikipedia:Pelvis galen:Pelvis EFO:0002805 NCIT:C12767 EV:0100012 FMA:9578 MESH:D010388 SCTID:229765004 BTO:0001006 MA:0000030"
<http://purl.obolibrary.org/obo/UBERON_0004209>	"The renal vesicle is the primordial structure of the nephron epithelium, and is formed by the condensation of mesenchymal cells."	
<http://purl.obolibrary.org/obo/FOODON_03411378>		"MANSFELD:35616 http://www.langual.org/langual_thesaurus.asp?termid=B1378 http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?32617"
<http://purl.obolibrary.org/obo/GO_0000271>	"The chemical reactions and pathways resulting in the formation of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."	
<http://purl.obolibrary.org/obo/MAXO_0001396>	"Procedure to evaluate the structure and/or function of the digestive system."	
<http://purl.obolibrary.org/obo/CHEBI_36141>	"Compounds having a fully conjugated cyclic dione structure, such as that of benzoquinones, derived from aromatic compounds by conversion of an even number of -CH= groups into -C(=O)- groups with any necessary rearrangement of double bonds (polycyclic and heterocyclic analogues are included)."	"Wikipedia:Quinone"
<http://purl.obolibrary.org/obo/GO_0001667>	"Cell migration that is accomplished by extension and retraction of a pseudopodium."	
<http://purl.obolibrary.org/obo/MAXO_0000341>	"Removal and examination of tissue, cells, or fluids from bronchus for the purpose of detecting or characterizing disease."	
<http://purl.obolibrary.org/obo/GO_0042246>	"The regrowth of lost or destroyed tissues."	
<http://purl.obolibrary.org/obo/PR_000009054>	"An insulin family protein that is a translation product of the human INS gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/CHEBI_22221>	"An organic group formed by removing one or more hydroxy groups from an oxoacid that has the general structure RkE(=O)l(OH)m (l =/= 0). Although the term is almost always applied to organic compounds, with carboxylic acid as the oxoacid, acyl groups can in principle be derived from other types of acids such as sulfonic acids or phosphonic acids."	
<http://purl.obolibrary.org/obo/CHEBI_35470>	"A class of drugs producing both physiological and psychological effects through a variety of mechanisms involving the central nervous system."	
<http://purl.obolibrary.org/obo/MAXO_0000259>	"A synthetic or animal-derived form of insulin used in the treatment of diabetes mellitus. Therapeutic insulin is formulated to be short-, intermediate- and long-acting in order to individualize an insulin regimen according to individual differences in glucose and insulin metabolism. Therapeutic insulin may be derived from porcine, bovine or recombinant sources. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats and has anabolic effects on many types of tissues."	"NCIT:C581"
<http://purl.obolibrary.org/obo/MAXO_0001034>	"The surgical removal (cutting out) of part or all of ear."	
<http://purl.obolibrary.org/obo/MAXO_0035006>	"Use of an imaging test that uses small amounts of radiation to produce pictures of pes."	
<http://purl.obolibrary.org/obo/CHEBI_26650>	"An L-alpha-amino acid which is biosynthesised from 3-phosphoglycerate (i.e. serine, glycine, cysteine and homocysteine). A closed class."	
<http://purl.obolibrary.org/obo/PR_000001869>	"A protein that is a translation product of the human IL7R gene or a 1:1 ortholog thereof."	"PIRSF:PIRSF001960 IUPHARobj:1698"
<http://purl.obolibrary.org/obo/UBERON_0002428>	"A bone that is part of a limb [Automatically generated definition]."	"EFO:0000945 MAT:0000151 NCIT:C32223 SCTID:304149004 MIAA:0000151"
<http://purl.obolibrary.org/obo/UBERON_0015007>	"A vertebral endochondral element in the cervical region of the vertebral column."	
<http://purl.obolibrary.org/obo/PO_0025029>	"A plant axis (PO:0025004) that is part of a shoot system (PO:0009006)."	
<http://purl.obolibrary.org/obo/MAXO_0010066>	"A medical requirement or recommendation of avoiding the consumption of bean food product."	
<http://purl.obolibrary.org/obo/CHEBI_25350>	"A racemate composed of equimolar amounts of (R)- and (S)-mevalonate."	
<http://purl.obolibrary.org/obo/UBERON_0011741>		"MA:0003179 EMAPA:35903"
<http://purl.obolibrary.org/obo/MAXO_0000304>	"Treatment with drug or agent to treat or prevent deformities or abnormalities of the bone caused by a metabolic disorder."	
<http://purl.obolibrary.org/obo/CHEBI_176497>	"Any compound that supports healthy aging, slows the biological aging process, or extends lifespan."	"Wikipedia:Geroprotector"
<http://purl.obolibrary.org/obo/GO_0007283>	"The developmental process by which male germ line stem cells self renew or give rise to successive cell types resulting in the development of a spermatozoa."	"Wikipedia:Spermatogenesis"
<http://purl.obolibrary.org/obo/CHEBI_35875>		
<http://purl.obolibrary.org/obo/UBERON_0006601>	"Presumptive structure of the blastula that will develop into ectoderm."	"EFO:0003466 AAO:0000470 TAO:0001376 ZFA:0001376 XAO:0004132"
<http://purl.obolibrary.org/obo/PR_000001479>	"An immunoglobulin gamma Fc receptor II/III/IV that is a translation product of the mouse Fcgr2 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/BFO_0000023>		
<http://purl.obolibrary.org/obo/CHEBI_144644>		
<http://purl.obolibrary.org/obo/UBERON_0006538>	"A portion of organism substance that secreted_by a respiratory system."	"NCIT:C13722 EMAPA:36550 MA:0002533"
<http://purl.obolibrary.org/obo/CHEBI_33832>	"Any organic molecule that consists of atoms connected in the form of a ring."	
<http://purl.obolibrary.org/obo/CHEBI_33340>		
<http://purl.obolibrary.org/obo/MAXO_0001311>	"A medical examination performed using of magnetic resonance imaging to image the limb."	
<http://purl.obolibrary.org/obo/GO_1903522>	"Any process that modulates the frequency, rate or extent of blood circulation."	
<http://purl.obolibrary.org/obo/MAXO_0002000>	"A medical requirement or recommendation of avoiding cannabis consumption."	
<http://purl.obolibrary.org/obo/CHEBI_33823>	"Alkenols; the term refers specifically to vinylic alcohols, which have the structure HOCR'=CR2. Enols are tautomeric with aldehydes (R' = H) or ketones (R' =/= H)."	
<http://purl.obolibrary.org/obo/MAXO_0001468>	"The surgical removal (cutting out) of part or all of zone of skin."	
<http://purl.obolibrary.org/obo/MAXO_0009027>	"A procedure to place an electrode in some part of the body for therapeutic purposes."	
<http://purl.obolibrary.org/obo/UBERON_0000975>	"A midventral endochondral skeletal element which represents the origin site of the pectoral muscles[PHENOSCAPE:ad]."	"MA:0001331 EMAPA:18344 CALOHA:TS-0972 EHDAA2:0001914 AAO:0000765 EHDAA:9561 Wikipedia:Sternum SCTID:302522007 FMA:7485 VHOG:0000856 BTO:0001302 MESH:D013249 galen:Sternum NCIT:C12793 GAID:246"
<http://purl.obolibrary.org/obo/PR_000005307>	"A protein that is a translation product of the human CEBPA gene or a 1:1 ortholog thereof."	
